enviro,observer,task,ori,n_runs,threshold,t_sem,slope,s_sem
lab,p18,spatial,vertical,5,1.491,0.0841,0.5611,0.0754
lab,p18,spatial,minus45,6,14.9002,0.5301,4.1932,0.4873
lab,p18,spatial,plus45,5,10.9992,0.3045,3.7799,0.274
lab,p2,temporal,horizontal,5,1.4014,3678.651,0.0379,4880.3269
lab,p2,temporal,vertical,5,1.7986,0.0417,0.6133,0.0373
lab,p2,temporal,minus45,5,7.1844,0.3495,2.915,0.3157
lab,p2,temporal,plus45,5,6.5948,0.4756,3.9489,0.4562
lab,p2,spatial,horizontal,5,1.4354,0.0185,0.3225,0.0181
lab,p2,spatial,vertical,5,1.3942,0.0398,0.5934,0.036
lab,p2,spatial,minus45,5,9.707,0.3739,3.5601,0.3367
lab,p2,spatial,plus45,5,11.1243,0.261,2.7769,0.2304
lab,p3,temporal,horizontal,5,0.5903,0.0161,0.1536,0.0135
lab,p3,temporal,vertical,5,0.6037,0.0228,0.2339,0.0206
lab,p3,temporal,minus45,5,3.0,0.0221,0.6172,0.0172
lab,p3,temporal,plus45,5,2.2687,0.0708,0.9888,0.0634
lab,p3,spatial,horizontal,5,1.1776,0.0477,0.3686,0.0425
lab,p3,spatial,vertical,5,1.4952,0.0501,0.4455,0.0466
lab,p3,spatial,minus45,5,8.4389,0.274,2.596,0.2726
lab,p3,spatial,plus45,5,7.8897,0.1591,2.9296,0.1625
lab,p4,temporal,horizontal,5,1.1565,0.0181,0.3347,0.015
lab,p4,temporal,vertical,5,1.6604,0.0369,0.5298,0.0328
lab,p4,temporal,minus45,5,6.8904,0.1311,1.7981,0.1211
lab,p4,temporal,plus45,5,8.1751,0.1859,2.3066,0.164
lab,p4,spatial,horizontal,5,1.707,0.0571,0.6342,0.0514
lab,p4,spatial,vertical,5,1.8619,0.1139,0.7758,0.1042
lab,p4,spatial,minus45,5,9.86,0.5853,3.0805,0.5203
lab,p4,spatial,plus45,5,10.8999,0.366,3.9348,0.3311
lab,p5,temporal,horizontal,5,1.0602,0.0402,0.3595,0.0336
lab,p5,temporal,vertical,5,1.0416,0.0263,0.2822,0.0195
lab,p5,temporal,minus45,5,9.4746,0.2344,1.9122,0.2028
lab,p5,temporal,plus45,5,9.3996,0.2302,3.1356,0.2052
lab,p5,spatial,horizontal,5,1.6328,0.0852,0.5733,0.0761
lab,p5,spatial,vertical,5,1.7395,0.0398,0.3581,0.0337
lab,p5,spatial,minus45,5,16.0663,0.9247,5.698,0.9372
lab,p5,spatial,plus45,5,19.0176,0.986,7.5224,1.1228
lab,p6,temporal,horizontal,5,1.5048,0.0495,0.453,0.0442
lab,p6,temporal,vertical,5,2.1236,0.1477,1.2135,0.1511
lab,p6,temporal,minus45,5,14.2505,0.4675,5.8411,0.4704
lab,p6,temporal,plus45,5,16.834,0.5518,5.1122,0.546
lab,p6,spatial,horizontal,5,2.3863,0.1218,0.9639,0.1143
lab,p6,spatial,vertical,5,2.4872,0.1361,0.6727,0.1208
lab,p6,spatial,minus45,5,18.6896,0.7824,4.9309,0.7938
lab,p6,spatial,plus45,6,16.7938,0.2007,4.1765,0.1887
lab,p7,temporal,horizontal,5,1.1493,0.0472,0.4978,0.0424
lab,p7,temporal,vertical,5,1.0818,0.0534,0.43,0.0469
lab,p7,temporal,minus45,5,7.1613,0.2796,2.3855,0.2497
lab,p7,temporal,plus45,5,6.9391,0.2432,2.5393,0.2178
lab,p7,spatial,horizontal,5,1.0015,0.0373,0.4516,0.0332
