sample,ori,task,n,mean,stdev,sem,95%CI,median,iqr,top95,range
allweb,horizontal,temporal,69,1.13,0.4,0.05,"[1.03, 1.22]",1.02,"[0.87, 1.29]","[0.59, 2.13]","[0.56, 2.26]"
allweb,horizontal,spatial,69,1.76,0.49,0.06,"[1.64, 1.88]",1.72,"[1.38, 2.0]","[1.09, 2.85]","[0.89, 3.4]"
allweb,vertical,temporal,69,1.24,0.46,0.06,"[1.13, 1.35]",1.09,"[0.98, 1.4]","[0.62, 2.29]","[0.49, 2.71]"
allweb,vertical,spatial,69,2.18,0.55,0.07,"[2.05, 2.31]",2.13,"[1.76, 2.58]","[1.36, 3.33]","[1.21, 3.59]"
allweb,minus45,temporal,69,8.78,2.99,0.36,"[8.06, 9.5]",8.18,"[6.75, 9.87]","[4.41, 15.87]","[1.92, 17.99]"
allweb,minus45,spatial,69,15.31,4.48,0.54,"[14.24, 16.39]",14.86,"[11.58, 18.05]","[8.51, 23.81]","[6.97, 24.0]"
allweb,plus45,temporal,69,9.37,3.37,0.41,"[8.56, 10.18]",8.78,"[6.72, 11.36]","[4.72, 16.07]","[1.84, 16.49]"
allweb,plus45,spatial,69,15.4,4.28,0.52,"[14.37, 16.42]",15.45,"[12.02, 19.32]","[8.83, 23.29]","[5.87, 24.06]"
