task,geomean_ratio,loa,median_ratio,iqr,median_abs_ratio,iqr_abs,q1,q3
spatial,1.0,[0.64 1.56],1.01,0.3,1.16,0.23,1.06,1.29
temporal,1.05,[0.63 1.76],1.08,0.4,1.23,0.25,1.1,1.35
