sample,ori,task,n,mean,stdev,sem,95%CI,median,iqr,top95,range
web,horizontal,temporal,19,1.32,0.47,0.11,"[1.09, 1.55]",1.19,"[0.99, 1.74]","[0.68, 2.17]","[0.68, 2.23]"
web,horizontal,spatial,19,1.86,0.55,0.13,"[1.6, 2.13]",1.81,"[1.51, 2.27]","[1.01, 2.82]","[0.89, 2.86]"
web,vertical,temporal,19,1.37,0.58,0.13,"[1.1, 1.65]",1.13,"[1.05, 1.63]","[0.57, 2.51]","[0.49, 2.71]"
web,vertical,spatial,19,2.27,0.55,0.13,"[2.0, 2.53]",2.46,"[1.7, 2.68]","[1.42, 2.94]","[1.33, 2.96]"
web,minus45,temporal,19,9.17,3.74,0.86,"[7.37, 10.98]",10.24,"[6.42, 11.73]","[2.59, 14.6]","[1.92, 15.22]"
web,minus45,spatial,19,14.88,4.47,1.03,"[12.72, 17.03]",14.86,"[11.53, 17.93]","[7.59, 22.23]","[6.97, 22.43]"
web,plus45,temporal,19,9.57,3.86,0.89,"[7.71, 11.43]",8.69,"[6.58, 12.9]","[3.39, 15.64]","[1.84, 16.03]"
web,plus45,spatial,19,15.48,5.25,1.2,"[12.95, 18.01]",14.78,"[11.49, 19.71]","[7.06, 23.29]","[5.87, 24.06]"
